shiftname,start time,end time,length,date,route,department
Service2 PM,13:01,16:05,3,4/12/15,,Service
Service2 AM,7:03,11:20,4.25,4/13/15,,Service
Service1 AM,6:59,11:08,4.25,4/15/15,,Service
Service1 PM,14:57,19:01,4,4/15/15,,Service
39-2 AM, 7:40,11:45,4,4/17/15,39,Bus
Service2 PM,12:58,16:00,3,4/19/15,,Service
Service2 AM,7:00,11:03,4,4/22/15,,Service
39-2 AM, 7:40,11:45,4,4/24/15,39,Bus
Service2 PM,13:05,16:07,3,4/26/15,,Service
Service2 AM,6:56,10:58,4,4/27/15,,Service
Service1 AM,7:05,11:09,4,4/29/15,,Service
Service1 PM,14:22,18:26,4,4/29/15,,Service
39-2 AM, 7:40,11:45,4,5/1/15,39,Bus
Service2 PM,12:57,16:00,3,5/3/15,,Service
Service2 AM,7:12,10:12,3,5/4/15,,Service
33-2 PM1 Part 3,16:02,17:22,1.25,1/29/15,33,Bus
Service Work,17:31,19:02,1.5,1/29/15,,Service
Service Work,15:01,19:02,4,2/2/15,,Service
RO Training,9:00,13:00,4,2/7/15,,Operations
RO Training,14:00,18:00,4,2/7/15,,Operations
RO Training,9:00,14:00,5,2/8/15,,Operations
RO Training,15:00,19:00,4,2/8/15,,Operations
30-4 PM2 Part 2,19:30,20:35,1,2/11/15,30,Bus
RO Training,14:30,19:00,4.5,2/13/15,,Operations
RO Training,5:30,9:30,4,2/19/15,,Operations
RO Training,12:30,17:00,4.5,3/2/15,,Operations
RO Training,18:30,22:00,3.5,3/3/15,,Operations
RO Training,19:30,26:15:00,6.75,3/4/15,,Operations
RO Training,19:30,26:15:00,6.75,3/11/15,,Operations
RO Training,18:30,22:00,3.5,3/12/15,,Operations
31-5 MID Part 1,11:17,11:51,0.5,2/12/15,31,Bus
RO Training,18:30,22:00,3.5,3/31/15,,Operations
RO Training,8:30,11:30,3,3/9/15,,Operations
33-1 MID Part 2,12:06,13:26,1.25,2/13/15,33,Bus
34-2 EVE Part 1,19:57,21:16,1.25,2/17/15,34,Bus
Service Work,8:00,12:00,4,2/21/15,,Service
Service Work,13:30,18:45,5.25,2/22/15,,Service
Service2 MID Part 2,12:27,15:32,3,2/23/15,,Service
RO Training Part 1,5:30,10:00,4.5,2/23/15,,Operations
Field Trip,7:55,11:45,3.75,4/7/15,,Field Trip
33-1 MID Part 1,10:46,11:00,0.25,3/2/15,33,Bus
33-1 MID Part 2,11:00,11:22,0.25,3/2/15,33,Bus
RO Training,5:30,9:30,4,3/27/15,,Operations
Service2 AM,7:00,10:58,4,4/30/15,,Service
35-3 PM1 Part 3,15:53,16:59,1,3/5/15,35,Bus
Recruitment,10:30,14:30,4,3/5/15,,Training
Service Work,6:58,10:23,3.5,3/4/15,,Service
Ucrew Ran Over,22:00,22:35,0.5,3/3/15,,Bus
RO Meeting,17:30,18:30,1,3/10/15,,Operations
Bus Meeting,19:00,20:00,1,3/10/15,,Operations
Service Work,7:01,8:20,1.25,3/9/15,,Service
RO Training,22:00,22:30,0.5,3/12/15,,Operations
Call Ran Over Time ,11:30,11:50,0.25,3/9/15,,Special Transportation
driver change,11:22,11:40,0.25,3/14/15,,Bus
33-2 AM Part 1, 7:21,8:51,1.5,3/23/15,33,Bus
driver change,10:42,10:55,0.25,3/17/15,,Bus
RO Training,11:00,14:30,3.5,3/23/15,,Operations
Service Work,10:24,11:34,1.25,3/22/15,,Service
Field Trip,9:45,17:15,7.5,4/11/15,,Field Trip
SERVICE2 AM,7:53,11:46,4,5/8/15,,Service
SERVICE2 AM,6:57,11:00,4,5/11/15,,Service
SERVICE2 MID,11:00,14:43,3.75,5/11/15,,Service
SERVICE2 AM,7:02,11:00,4,5/12/15,,Service
30-1 MID,11:00,14:22,3.25,5/12/15,30,Bus
SERVICE2 AM,7:00,11:00,4,5/13/15,,Service
SERVICE2 AM,7:04,11:00,4,5/14/15,,Service
SERVICE1 AM,7:02,10:41,3.75,5/15/15,,Service
SERVICE1 AM,7:03,10:58,4,5/18/15,,Service
36-1 MID,11:40,15:35,4,5/18/15,36,Bus
SERVICE2 AM,7:46,10:57,3.25,5/27/15,,Service
SERVICE2 AM,7:03,10:59,4,5/28/15,,Service
31-3 MID,11:16,14:17,3,5/28/15,31,Bus
SERVICE2 AM,7:02,10:59,4,6/1/15,,Service
SERVICE1 PM,14:59,19:04,4,6/2/15,,Service
31-3 MID,11:16,14:17,3,6/2/15,31,Bus
SERVICE2 AM,7:00,11:17,4.25,6/3/15,,Service
SERVICE1 AM,6:57,11:00,4,6/4/15,,Service
SERVICE1 AM,7:02,11:00,4,6/5/15,,Service
SERVICE2 MID,11:00,15:00,4,6/8/15,,Service
SERVICE2 PM,15:00,18:54,4,6/8/15,,Service
SERVICE1 AM,7:02,11:00,4,6/9/15,,Service
30-1 MID,11:00,14:22,3.25,6/9/15,30,Bus
SERVICE2 AM,7:01,11:00,4,6/10/15,,Service
SERVICE1 AM,6:58,11:00,4,6/12/15,,Service
SERVICE2 PM,15:01,19:01,4,6/16/15,,Service
33-1 MID,10:46,14:02,3.25,6/22/15,33,Bus
SERVICE2 PM,14:58,18:59,4,6/23/15,,Service
RO AM,6:00,12:45,6.75,6/24/15,,Operations
SERVICE1 AM,7:00,11:00,4,6/25/15,,Service
SERVICE1 MID,11:00,14:59,4,6/25/15,,Service
SERVICE2 MID,11:05,15:00,4,6/29/15,,Service
SERVICE2 PM,15:00,19:02,4,6/29/15,,Service
SERVICE1 AM,7:06,10:57,3.75,6/30/15,,Service
SERVICE2 MID,11:04,15:00,4,7/6/15,,Service
SERVICE2 PM,15:00,18:59,4,7/6/15,,Service
SERVICE1 AM,7:41,11:09,3.5,7/7/15,,Service
SERVICE2 PM,14:58,19:00,4,7/7/15,,Service
30-1 EVE,18:52,24:10:00,5.25,7/12/15,30,Bus
SERVICE2 MID,10:58,15:00,4,7/13/15,,Service
SERVICE2 PM,15:00,19:00,4,7/13/15,,Service
33-2 MID,10:42,14:06,3.5,7/14/15,33,Bus
SERVICE1 AM,7:00,11:00,4,7/16/15,,Service
SERVICE1 MID,11:00,14:58,4,7/16/15,,Service
SERVICE2 MID,11:01,15:00,4,7/20/15,,Service
SERVICE1 PM,15:00,18:59,4,7/20/15,,Service
SERVICE1 PM,14:13,18:59,4.75,7/21/15,,Service
33-2 MID,10:42,14:06,3.5,7/21/15,33,Bus
UD AM,6:15:00,10:15:00,4,7/22/15,,Operations
SERVICE2 MID,10:56,15:00,4,7/27/15,,Service
SERVICE2 PM,15:00,18:58,4,7/27/15,,Service
SERVICE2 AM,6:59,11:02,4,7/28/15,,Service
31-1 AM, 6:28,11:22,5,7/29/15,31,Bus
30-3 AM, 6:45,10:52,4,7/31/15,30,Bus
SERVICE1 PM,15:00,19:00,4,8/3/15,,Service
driver change,12:45,13:00,0.25,4/12/15,,Bus
RO Meeting,17:30,18:30,1,4/22/15,,Operations
30-3 MID Part 2,11:52,12:52,1,5/8/15,30,Bus
Helped Bring Lost 'n Found to Survival Center,14:22,14:40,0.25,5/12/15,,Bus
SERVICE1 PM Part 2,16:02,19:00,3,6/1/15,,Service
Field Trip,6:30,11:00,4.5,7/19/15,,Field Trip
FT Trainee,17:00,21:00,4,6/4/15,,Field Trip
31-1 PM1 Part 2,17:12,18:40,1.5,6/16/15,31,Bus
Service Work,15:01,15:49,0.75,6/22/15,,Service
Complicated Bus Swap,19:51,20:30,0.75,7/7/15,,Bus
Shift Ran Over,14:06,14:16,0.25,7/14/15,,Bus
31-3 MID Part 1,11:16,13:07,1.75,7/22/15,31,Bus
Incident paperwork,19:00,19:14,0.25,7/27/15,,Bus
SERVICE1 AM Part 2,8:08,10:58,2.75,8/3/15,,Service
SERVICE1 MID Part 1,10:57,11:39,0.75,8/11/15,,Service
30-4 AM, 7:12,10:52,3.75,9/9/15,30,Bus
30-5 PM2,17:00,19:52,2.75,9/10/15,30,Bus
38-1 MID,10:40,13:40,3,9/10/15,38,Bus
30-1 MID Part 1,11:00,12:37,1.5,9/8/15,30,Bus
39-2 AM Part 1, 7:40,11:25,3.75,9/11/15,39,Bus
33-1 MID,10:46,14:02,3.25,9/15/15,33,Bus
33-1 MID,10:46,14:02,3.25,9/17/15,33,Bus
38-1 PM2,16:40,19:55,3.25,9/17/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,9/18/15,,Service
RO AM,8:00:00,14:15:00,6.25,9/20/15,,Operations
UD PM2,16:00,20:00,4,9/22/15,,Operations
33-1 MID,10:46,14:02,3.25,9/22/15,33,Bus
33-1 MID,10:46,14:02,3.25,9/24/15,33,Bus
38-1 PM2,16:40,19:55,3.25,9/24/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,9/25/15,,Service
RO AM,8:00:00,14:15:00,6.25,9/27/15,,Operations
33-1 MID,10:46,14:02,3.25,9/29/15,33,Bus
33-1 MID,10:46,14:02,3.25,10/1/15,33,Bus
38-1 PM2,16:40,19:55,3.25,10/1/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,10/2/15,,Service
RO AM,8:00:00,14:15:00,6.25,10/4/15,,Operations
30-3 MID,10:37,14:00,3.5,10/6/15,30,Bus
33-1 MID,10:46,14:02,3.25,10/8/15,33,Bus
38-1 PM2,16:40,19:55,3.25,10/8/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,10/9/15,,Service
RO AM,8:00:00,14:15:00,6.25,10/11/15,,Operations
33-1 MID,10:46,14:02,3.25,10/15/15,33,Bus
38-1 PM2,16:40,19:55,3.25,10/15/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,10/16/15,,Service
RO AM,8:00:00,14:15:00,6.25,10/18/15,,Operations
30-3 MID,10:37,14:00,3.5,10/20/15,30,Bus
38-2 PM2,17:10,20:20,3.25,10/20/15,38,Bus
33-1 MID,10:46,14:02,3.25,10/22/15,33,Bus
38-1 PM2,16:40,19:55,3.25,10/22/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,10/23/15,,Service
RO AM,8:00:00,14:15:00,6.25,10/25/15,,Operations
30-3 MID,10:37,14:00,3.5,10/27/15,30,Bus
30-4 MID,10:52,14:15,3.5,10/29/15,30,Bus
38-1 PM2,16:40,19:55,3.25,10/29/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,10/30/15,,Service
RO AM,8:00:00,14:15:00,6.25,11/1/15,,Operations
30-3 MID,10:37,14:00,3.5,11/3/15,30,Bus
30-4 MID,10:52,14:15,3.5,11/5/15,30,Bus
38-1 PM2,16:40,19:55,3.25,11/5/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,11/6/15,,Service
RO AM,8:00:00,14:15:00,6.25,11/8/15,,Operations
30-3 MID,10:37,14:00,3.5,11/10/15,30,Bus
30-4 MID,10:52,14:15,3.5,11/12/15,30,Bus
38-1 PM2,16:40,19:55,3.25,11/12/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,11/13/15,,Service
RO AM,8:00:00,14:15:00,6.25,11/15/15,,Operations
30-3 MID,10:37,14:00,3.5,11/17/15,30,Bus
30-4 MID,10:52,14:15,3.5,11/19/15,30,Bus
38-1 PM2,16:40,19:55,3.25,11/19/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,11/20/15,,Service
RO AM,8:00:00,14:15:00,6.25,11/22/15,,Operations
30-3 MID,10:37,14:00,3.5,11/24/15,30,Bus
RO AM,8:00:00,14:15:00,6.25,11/29/15,,Operations
30-3 MID,10:37,14:00,3.5,12/1/15,30,Bus
30-4 MID,10:52,14:15,3.5,12/3/15,30,Bus
38-1 PM2,16:40,19:55,3.25,12/3/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,12/4/15,,Service
RO AM,8:00:00,14:15:00,6.25,12/6/15,,Operations
51-1 AM,8:21,10:23,2,12/7/15,51,Bus
30-3 MID,10:37,14:00,3.5,12/8/15,30,Bus
30-4 MID,10:52,14:15,3.5,12/10/15,30,Bus
38-1 PM2,16:40,19:55,3.25,12/10/15,38,Bus
ULEADER1 EVE,18:30,22:00,3.5,12/11/15,,Service
30-3 MID,10:37,14:00,3.5,12/15/15,30,Bus
30-4 MID,10:52,14:15,3.5,12/17/15,30,Bus
ULEADER1 EVE,18:30,22:00,3.5,12/18/15,,Service
Shift Ran Over,19:52,20:05,0.25,9/10/15,,Bus
Drivers Meeting,19:00,20:30,1.5,9/9/15,,Operations
ULead ran over ,22:00,22:20,0.25,9/18/15,,Service
driver change ,15:45,16:00,0.25,9/22/15,,Bus
assisted in calling trainees for UCrew,16:00,16:20,0.25,9/25/15,,Bus
Selling open shifts,14:30,15:15,0.75,10/4/15,,Operations
UCrew ran over,22:00,22:15,0.25,10/9/15,,Service
Shift Ran Over,22:00,23:00,1,10/16/15,,Service
38-1 MID Part 1,8:30,10:10,1.75,11/1/15,38,Bus
RO PM1 Part 1,14:16,14:36,0.25,11/1/15,,Operations
Registry trip,15:00,16:00,1,10/30/15,,Bus
ulead ran over,22:00,22:10,0.25,10/30/15,,Bus
33-2 PM1 Part 2,15:26,16:02,0.5,11/6/15,33,Bus
Ucrew ran over,22:00,22:15,0.25,11/6/15,,Service
Re-parking garage,14:15,14:45,0.5,11/8/15,,Operations
30-1 AM, 7:25,11:30,4,12/19/15,30,Bus
31-1 PM1,14:11,18:40,4.5,12/21/15,31,Bus
39-2 AM, 7:40,11:45,4,12/22/15,39,Bus
ULEADER2 EVE,18:30,21:45,3.25,12/30/15,,Service
38-1 AM, 6:40, 9:50,3.25,12/30/15,38,Bus
30-2 AM, 6:45,10:52,4,1/4/16,30,Bus
ULEADER1 EVE,18:30,21:45,3.25,1/4/16,,Service
ULEADER1 EVE,18:30,21:45,3.25,1/7/16,,Service
30-2 MID,10:52,14:30,3.75,1/8/16,30,Bus
45-2 AM, 6:40, 8:54,2.25,1/8/16,45,Bus
30-1 EVE,19:30,24:10:00,4.75,1/10/16,30,Bus
ULEADER2 EVE,18:30,21:45,3.25,1/12/16,,Service
30-1 AM, 6:55,11:00,4,1/13/16,30,Bus
45-4 MID,12:07,14:35,2.5,1/13/16,46,Bus
ULEADER1 EVE,18:30,21:45,3.25,1/13/16,,Service
RO AM,6:00,12:45,6.75,1/15/16,,Operations
RO PM1,12:30,18:45,6.25,1/18/16,,Operations
Re-Parking Garage,14:15,14:30,0.25,11/22/15,,Operations
33-1 PM1 Part 2,16:06,17:26,1.25,12/11/15,33,Bus
RO Coverage,7:00,8:00,1,12/6/15,,Operations
35-2 PM2 Part 1,16:38,18:29,1.75,12/18/15,35,Bus
ULEADER1 EVE Part 2,18:40,21:45,3,12/21/15,,Service
38-3 MID,10:10,13:10,3,1/19/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,1/20/16,,Service
39-2 MID,11:05,14:45,3.75,1/21/16,39,Bus
ULEADER2 EVE,18:30,22:00,3.5,1/22/16,,Service
38-1 AM, 6:20,10:40,4.25,1/25/16,38,Bus
38-2 MID,11:10,14:10,3,1/26/16,38,Bus
30-5 PM2,17:00,19:52,2.75,1/27/16,30,Bus
38-3 MID,10:10,13:10,3,1/28/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,1/28/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,1/31/16,,Operations
38-2 MID,11:10,14:10,3,2/2/16,38,Bus
30-5 PM2,17:00,19:52,2.75,2/3/16,30,Bus
38-3 MID,10:10,13:10,3,2/4/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,2/4/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,2/7/16,,Operations
38-2 MID,11:10,14:10,3,2/9/16,38,Bus
30-5 PM2,17:00,19:52,2.75,2/10/16,30,Bus
38-3 MID,10:10,13:10,3,2/11/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,2/11/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,2/14/16,,Operations
31-3 EVE,19:40,25:00:00,5.25,2/16/16,31,Bus
30-5 PM2,17:00,19:52,2.75,2/17/16,30,Bus
38-3 MID,10:10,13:10,3,2/18/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,2/18/16,38,Bus
38-2 MID,11:10,14:10,3,2/23/16,38,Bus
30-5 PM2,17:00,19:52,2.75,2/24/16,30,Bus
38-3 MID,10:10,13:10,3,2/25/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,2/25/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,2/28/16,,Operations
38-2 MID,11:10,14:10,3,3/1/16,38,Bus
30-5 PM2,17:00,19:52,2.75,3/2/16,30,Bus
38-3 MID,10:10,13:10,3,3/3/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,3/3/16,38,Bus
31-4 PM2,16:36,20:22,3.75,3/4/16,31,Bus
RO AM,8:00:00,14:15:00,6.25,3/6/16,,Operations
38-2 MID,11:10,14:10,3,3/8/16,38,Bus
30-5 PM2,17:00,19:52,2.75,3/9/16,30,Bus
38-3 MID,10:10,13:10,3,3/10/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,3/10/16,38,Bus
33-2 MID,10:42,14:06,3.5,3/15/16,33,Bus
38-3 PM1,15:40,19:00,3.25,3/15/16,38,Bus
RO AM,6:00,12:45,6.75,3/16/16,,Operations
31-3 AM,6:21,10:47,4.5,3/17/16,31,Bus
33-1 PM2,17:26,21:00,3.5,3/17/16,33,Bus
UD PM1,13:00,16:15,3.25,3/18/16,,Operations
38-2 MID,11:10,14:10,3,3/22/16,38,Bus
30-5 PM2,17:00,19:52,2.75,3/23/16,30,Bus
38-3 MID,10:10,13:10,3,3/24/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,3/24/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,3/27/16,,Operations
38-2 MID,11:10,14:10,3,3/29/16,38,Bus
30-5 PM2,17:00,19:52,2.75,3/30/16,30,Bus
38-3 MID,10:10,13:10,3,3/31/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,3/31/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,4/3/16,,Operations
38-2 MID,11:10,14:10,3,4/5/16,38,Bus
30-5 PM2,17:00,19:52,2.75,4/6/16,30,Bus
38-3 MID,10:10,13:10,3,4/7/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,4/7/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,4/10/16,,Operations
39-1 MID,8:35,13:30,5,4/10/16,39,Bus
38-2 MID,11:10,14:10,3,4/12/16,38,Bus
30-5 PM2,17:00,19:52,2.75,4/13/16,30,Bus
38-3 MID,10:10,13:10,3,4/14/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,4/14/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,4/17/16,,Operations
38-2 MID,11:10,14:10,3,4/19/16,38,Bus
38-3 MID,10:10,13:10,3,4/21/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,4/21/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,4/24/16,,Operations
38-2 MID,11:10,14:10,3,4/26/16,38,Bus
30-5 PM2,17:00,19:52,2.75,4/27/16,30,Bus
38-3 MID,10:10,13:10,3,4/28/16,38,Bus
38-3 PM1 A,13:10,14:40,1.5,4/28/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,5/1/16,,Operations
38-2 MID,11:10,14:10,3,5/2/16,38,Bus
38-2 MID,11:10,14:10,3,5/3/16,38,Bus
38-3 MID,10:10,13:10,3,5/5/16,38,Bus
39-1 MID Part 1,8:35,10:35,2,2/7/16,39,Bus
35-3 PM1 Part 2,14:38,15:44,1,2/9/16,35,Bus
38-2 PM1 Part 2,15:40,17:10,1.5,2/8/16,38,Bus
31-3 PM1 Part 2,14:32,15:06,0.5,2/10/16,31,Bus
34-3 PM1 Part 2,15:10,16:40,1.5,2/10/16,34,Bus
34-2 PM1 Part 3,14:55,15:40,0.75,2/11/16,34,Bus
Field Trip,7:30,8:00,0.5,2/28/16,,Field Trip
30-3 PM1 Part 2,15:37,16:52,1.25,2/17/16,30,Bus
31-5 PM1 Part 2,14:21,15:36,1.25,2/17/16,31,Bus
Driver change,11:55,12:10,0.25,2/22/16,,Bus
Drivers Meeting,19:00,20:30,1.5,3/2/16,,Operations
45-7 PM2 Part 1,16:10,16:15,0,3/18/16,45,Bus
45-7 PM2 Part 2,16:15,19:07,2.75,3/18/16,45,Bus
30-1 AM Part 3,7:22,11:00,3.75,3/18/16,30,Bus
ULEADER1EVE Part 3,20:30,22:00,1.5,3/18/16,,Service
UCREW3EVE Part 2,19:07,20:30,1.5,3/18/16,,Service
Driver change,20:00,20:15,0.25,3/23/16,,Bus
30-3 PM1 Part 2,14:22,15:15,1,4/6/16,30,Bus
UD PM2 Part 1,16:00,17:00,1,4/6/16,,Operations
SERVICE2 MID,11:00,15:11,4.25,5/18/16,,Service
SERVICE1 AM,7:01,11:00,4,5/18/16,,Service
SERVICE2 MID,11:00,15:00,4,5/31/16,,Service
SERVICE1 AM,7:02,11:00,4,5/31/16,,Service
30-1 MID,11:00,14:22,3.25,6/1/16,30,Bus
SERVICE1 AM,7:04,11:00,4,6/1/16,,Service
RO AM,6:00,12:45,6.75,6/3/16,,Operations
SERVICE2 PM1,15:05,19:00,4,6/6/16,,Service
SERVICE1 AM,7:01,11:00,4,6/7/16,,Service
31-1 PM1,14:11,18:40,4.5,6/22/16,31,Bus
SERVICE2 AM,7:03,11:00,4,6/24/16,,Service
SERVICE1 MID,11:00,15:00,4,6/24/16,,Service
30-1 MID,10:25,14:52,4.5,6/26/16,30,Bus
UD PM1,13:00,16:15,3.25,6/28/16,,Operations
30-1 PM1,14:22,18:40,4.25,6/29/16,30,Bus
33-1 MID,10:46,14:02,3.25,6/29/16,33,Bus
SERVICE2 AM,7:00,11:00,4,7/1/16,,Service
SERVICE2 MID,11:00,15:02,4,7/1/16,,Service
31-1 EVE,19:02,23:40,4.75,7/3/16,31,Bus
31-1 PM1,14:11,18:40,4.5,7/5/16,31,Bus
30-1 AM,6:55,11:00,4,7/6/16,30,Bus
UD PM1,13:00,16:15,3.25,7/6/16,,Operations
RO EVE,18:00:00,24:45:00,6.75,7/11/16,,Operations
36-1 PM1,13:45,17:05,3.25,7/12/16,36,Bus
30-1 PM1,14:22,18:40,4.25,7/13/16,30,Bus
31-3 MID,10:47,14:17,3.5,7/13/16,31,Bus
SERVICE2 MID,11:00,15:01,4,7/15/16,,Service
30-2 AM,6:45,10:52,4,7/18/16,30,Bus
UD PM2,16:00,20:00,4,7/18/16,,Operations
33-1 AM,6:46,10:46,4,7/19/16,33,Bus
30-2 PM1,14:30,18:30,4,7/20/16,30,Bus
33-2 MID,10:42,14:06,3.5,7/20/16,33,Bus
Service Work,7:25,11:00,3.5,7/22/16,,Service
SERVICE2 MID,11:00,15:00,4,7/22/16,,Service
SERVICE2 AM,7:00,11:00,4,7/25/16,,Service
SERVICE2 MID,11:00,15:00,4,7/25/16,,Service
31-1 AM,6:28,10:41,4.25,7/26/16,31,Bus
36-1 MID,10:45,14:05,3.25,7/27/16,36,Bus
SERVICE1 PM1,15:00,19:00,4,7/27/16,,Service
SERVICE2 AM,7:00,11:00,4,7/29/16,,Service
SERVICE2 MID,11:00,15:00,4,7/29/16,,Service
SERVICE2 MID,11:00,14:59,4,8/1/16,,Service
SERVICE1 AM,7:00,11:00,4,8/1/16,,Service
31-3 AM,6:21,10:47,4.5,8/2/16,31,Bus
RO EVE,18:00:00,24:45:00,6.75,8/3/16,,Operations
SERVICE2 AM,7:00,11:00,4,8/5/16,,Service
SERVICE2 MID,11:00,15:00,4,8/5/16,,Service
SERVICE2 AM,7:00,11:00,4,8/8/16,,Service
SERVICE2 MID,11:00,15:00,4,8/8/16,,Service
RO AM,6:00,12:45,6.75,8/9/16,,Operations
36-1 MID,10:45,14:05,3.25,8/10/16,36,Bus
SERVICE2 AM,7:00,11:00,4,8/12/16,,Service
SERVICE2 MID,11:00,15:00,4,8/12/16,,Service
SERVICE2 AM,8:52,11:00,2.25,8/15/16,,Service
SERVICE2 MID,11:00,15:02,4,8/15/16,,Service
RO AM,6:00,12:45,6.75,8/16/16,,Operations
30-2 AM,6:45,10:52,4,8/17/16,30,Bus
36-1 PM1,13:45,17:05,3.25,8/17/16,36,Bus
30-1 MID,11:00,14:22,3.25,8/19/16,30,Bus
UD PM2,16:00,20:00,4,8/19/16,,Operations
SERVICE2 AM,7:05,11:00,4,8/22/16,,Service
SERVICE2 MID,11:00,15:02,4,8/22/16,,Service
RO AM,6:00,12:45,6.75,8/23/16,,Operations
UD MID,10:00,13:15,3.25,8/24/16,,Operations
SERVICE2 MID,11:00,15:00,4,8/29/16,,Service
SERVICE1 AM,7:01,11:00,4,8/29/16,,Service
RO AM,6:00,12:45,6.75,8/30/16,,Operations
30-2 MID,10:52,14:30,3.75,8/31/16,30,Bus
30-1 MID,11:00,14:22,3.25,9/5/16,30,Bus
SERVICE2 AM,7:00,11:00,4,9/5/16,,Service
Bus Swap,16:30,16:45,0.25,4/13/16,,Bus
RO Meeting,17:30,18:30,1,4/20/16,,Operations
Drivers Meeting,19:00,20:00,1,4/20/16,,Operations
RO PM1 Part 2,14:15,14:30,0.25,4/24/16,,Operations
31-4 PM2 Part 2,17:17,20:22,3,4/29/16,31,Bus
RO PM1 Part 1,12:30,18:00,5.5,6/27/16,,Operations
Field Trip,15:45,23:30,7.75,7/15/16,,Field Trip
45-2 AM Part 1,6:40,7:00,0.25,8/15/16,45,Bus
45-2 AM Part 2,7:00,8:54,2,8/15/16,45,Bus
38-3 MID,10:10,13:10,3,9/8/16,38,Bus
38-2 MID,11:10,14:10,3,9/9/16,38,Bus
SERVICE1 PM1,15:02,19:00,4,9/9/16,,Service
39-2 MID,11:00,14:20,3.25,9/12/16,39,Bus
ULEADER1 EVE,18:30,22:00,3.5,9/12/16,,Service
30-1 MID Part 1,11:00,13:00,2,8/24/16,30,Bus
30-3 MID,10:37,14:00,3.5,9/13/16,30,Bus
ULEADER2 EVE,18:30,22:00,3.5,9/13/16,,Service
SERVICE2 MID,11:00:00,15:00:00,4,9/14/16,,Service
RO AM,8:00:00,14:15:00,6.25,9/18/16,,Operations
38-1 PM1,13:40,16:40,3,9/20/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,9/20/16,,Service
SERVICE2 MID,11:00:00,15:00:00,4,9/21/16,,Service
RO AM,8:00:00,14:15:00,6.25,9/25/16,,Operations
38-1 PM1,13:40,16:40,3,9/27/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,9/27/16,,Service
SERVICE2 MID,11:00,14:58,4,9/28/16,,Service
RO AM,8:00:00,14:15:00,6.25,10/2/16,,Operations
38-1 PM1,13:40,16:40,3,10/4/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,10/4/16,,Service
SERVICE2 MID,11:00,14:42,3.75,10/5/16,,Service
SERVICE2 MID,11:00:00,15:00:00,4,10/12/16,,Service
RO AM,8:00:00,14:15:00,6.25,10/16/16,,Operations
38-1 PM1,13:40,16:40,3,10/18/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,10/18/16,,Service
SERVICE2 MID,11:00:00,15:00:00,4,10/19/16,,Service
RO AM,8:00:00,14:15:00,6.25,10/23/16,,Operations
38-1 PM1,13:40,16:40,3,10/25/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,10/25/16,,Service
33-2 PM1,14:06,17:22,3.25,10/28/16,33,Bus
38-2 PM2,16:45,20:45,4,10/29/16,38,Bus
RO AM,8:00:00,14:15:00,6.25,10/30/16,,Operations
38-1 PM1,13:40,16:40,3,11/1/16,38,Bus
ULEADER2 EVE,18:30,22:00,3.5,11/1/16,,Service
SERVICE2 MID,11:00:00,15:00:00,4,11/2/16,,Service
RO AM,8:00:00,14:15:00,6.25,11/6/16,,Operations
38-1 PM1,13:40,16:40,3,11/8/16,38,Bus
