shiftname,start time,end time,length,date,route,department
Shift ran over,26:10:00,26:40:00,0.5,4/4/14,,Bus
B-EVE Part 1,16:57,18:17,1.25,4/7/14,34,Bus
Z-PM Part 2,14:19,16:33,2.25,4/7/14,35,Bus
Trainee,14:55,16:26,1.5,4/6/14,,Training
Bus Meeting,19:00,20:15,1.25,4/16/14,,Operations
SERVICE2 AM,7:00,11:00,4,5/14/14,,Service
SERVICE2 MID,11:00,14:58,4,5/14/14,,Service
SERVICE2 MID,10:56,15:00,4,5/15/14,,Service
SERVICE2 PM,15:00,18:57,4,5/15/14,,Service
SERVICE1 AM,6:56,11:00,4,5/19/14,,Service
SERVICE1 MID,11:00,15:00,4,5/19/14,,Service
SERVICE2 MID,10:58,15:00,4,5/20/14,,Service
SERVICE1 PM,15:00,19:01,4,5/20/14,,Service
SERVICE1 MID,11:00,15:12,4.25,5/21/14,,Service
SERVICE1 AM,6:46,11:00,4.25,5/22/14,,Service
SERVICE2 PM,14:59,19:00,4,5/27/14,,Service
WASHCREW1 PM,13:00,16:00,3,5/29/14,,Service
SERVICE1 PM,15:00,19:07,4,5/30/14,,Service
SERVICE2 PM,14:58,19:02,4,6/2/14,,Service
WASHCREW3 PM,13:00,16:00,3,6/3/14,,Service
SERVICE2 AM,7:40,11:00,3.25,6/4/14,,Service
SERVICE2 PM,15:00,19:00,4,6/4/14,,Service
SERVICE1 PM,14:59,18:57,4,6/5/14,,Service
SERVICE2 MID,11:13,14:59,3.75,6/9/14,,Service
SERVICE2 PM,14:56,18:51,4,6/11/14,,Service
SERVICE1 PM,14:57,18:56,4,6/12/14,,Service
SERVICE1 MID,11:00,14:58,4,6/16/14,,Service
SERVICE1 AM,7:00,11:00,4,6/19/14,,Service
SERVICE2 MID,11:00,14:58,4,6/19/14,,Service
SERVICE2 AM,7:05,11:00,4,6/23/14,,Service
SERVICE2 MID,11:00,14:59,4,6/23/14,,Service
SERVICE1 PM,13:50,17:58,4.25,6/24/14,,Service
SERVICE1 MID,11:01,15:00,4,6/25/14,,Service
WASHCREW2 AM,9:00,12:00,3,6/26/14,,Service
WASHCREW3 PM,13:00,16:00,3,6/30/14,,Service
SERVICE1 AM,7:09,11:00,3.75,7/1/14,,Service
SERVICE1 MID,11:00,15:03,4,7/1/14,,Service
WASHCREW1 AM,9:00,12:00,3,7/2/14,,Service
SERVICE1 AM,6:59,11:00,4,7/17/14,,Service
SERVICE2 MID,11:00,15:37,4.5,7/17/14,,Service
SERVICE2 MID,10:52,14:49,4,7/18/14,,Service
SERVICE1 AM,7:23,10:54,3.5,7/21/14,,Service
SERVICE2 MID,10:56,15:02,4,7/22/14,,Service
SERVICE1 MID,11:23,15:23,4,7/23/14,,Service
WASHCREW1 PM,13:00,16:00,3,7/24/14,,Service
SERVICE2 MID,11:00,15:00,4,7/28/14,,Service
SERVICE1 AM,6:57,11:00,4,7/31/14,,Service
SERVICE2 MID,11:00,14:00,3,7/31/14,,Service
SERVICE1 AM,6:58,11:00,4,8/4/14,,Service
SERVICE2 PM,15:00,19:05,4,8/4/14,,Service
SERVICE1 MID,10:28,15:00,4.5,8/5/14,,Service
SERVICE2 MID,11:09,15:07,4,8/7/14,,Service
SERVICE2 MID,11:12,15:02,3.75,8/8/14,,Service
SERVICE1 AM,7:01,11:00,4,8/12/14,,Service
SERVICE1 MID,11:00,14:59,4,8/12/14,,Service
SERVICE1 AM,6:59,11:09,4.25,8/13/14,,Service
SERVICE2 MID,10:30,15:10,4.75,8/14/14,,Service
SERVICE2 MID,11:11,14:58,3.75,8/15/14,,Service
SERVICE1 AM,6:59,11:00,4,8/18/14,,Service
SERVICE2 MID,11:00,15:05,4,8/18/14,,Service
SERVICE2 MID,11:09,14:41,3.5,8/19/14,,Service
SERVICE1 AM,6:59,11:00,4,8/21/14,,Service
SERVICE1 AM,6:59,10:47,3.75,8/25/14,,Service
SERVICE1 AM,6:55,11:00,4,8/27/14,,Service
SERVICE2 PM,11:00,16:15,5.25,8/27/14,,Service
SERVICE1 AM,6:59,9:33,2.5,8/29/14,,Service
32-AM, 7:40,11:45,4,5/9/14,39,Bus
13-PM,14:30,18:30,4,5/9/14,30,Bus
44-AM,7:00,10:18,3.25,5/21/14,32,Bus
01-AM, 6:28,11:22,5,5/23/14,31,Bus
11-PM,14:45,19:10,4.5,5/25/14,30,Bus
11-AM, 6:55,11:00,4,5/27/14,30,Bus
13-MID,10:52,14:30,3.75,5/28/14,30,Bus
42-AM, 6:10, 8:32,2.25,5/28/14,45,Bus
01-AM, 6:28,11:22,5,5/29/14,31,Bus
13-AM, 6:45,10:52,4,5/30/14,30,Bus
11-MID,11:15,15:02,3.75,5/31/14,30,Bus
01-EVE,19:25,23:14,3.75,6/1/14,31,Bus
01-MID,11:35,15:40,4,6/1/14,31,Bus
41-AM, 8:40,11:02,2.25,6/2/14,37,Bus
01-AM, 6:28,11:22,5,6/3/14,31,Bus
44-AM,7:00,10:18,3.25,6/5/14,32,Bus
11-AM, 6:55,11:00,4,6/9/14,30,Bus
41-AM, 8:40,11:02,2.25,6/10/14,37,Bus
41-AM, 8:40,11:02,2.25,6/11/14,37,Bus
44-AM,7:00,10:18,3.25,6/12/14,32,Bus
