,shiftname,start time,end time,length,date,route,department,route_id,route_short_name,route_long_name,route_desc,route_type,route_url
480,31-4 AM Part 1,7:08,11:00,3.75,10/13/17,31,Bus,31,31,Sunderland / South Amherst,,3,
481,31-4 AM Part 2,11:00,11:02,0.0,10/13/17,31,Bus,31,31,Sunderland / South Amherst,,3,
482,31-4 PM1 Part 1,14:06,14:47,0.75,10/16/17,31,Bus,31,31,Sunderland / South Amherst,,3,
483,31-5 AM,7:23,10:36,3.25,1/31/18,31,Bus,31,31,Sunderland / South Amherst,,3,
484,31-4 PM1,14:06,16:36,2.5,2/2/18,31,Bus,31,31,Sunderland / South Amherst,,3,
485,31-1 AM,6:46,10:51,4.0,2/5/18,31,Bus,31,31,Sunderland / South Amherst,,3,
486,31-4 PM1,14:06,16:36,2.5,2/9/18,31,Bus,31,31,Sunderland / South Amherst,,3,
487,31-1 AM,6:46,10:51,4.0,2/12/18,31,Bus,31,31,Sunderland / South Amherst,,3,
488,31-4 PM1,14:06,16:36,2.5,2/16/18,31,Bus,31,31,Sunderland / South Amherst,,3,
489,31-1 AM,6:28,10:41,4.25,2/19/18,31,Bus,31,31,Sunderland / South Amherst,,3,
490,31-4 PM1,14:06,16:36,2.5,2/23/18,31,Bus,31,31,Sunderland / South Amherst,,3,
491,31-1 AM,6:46,10:51,4.0,2/26/18,31,Bus,31,31,Sunderland / South Amherst,,3,
492,31-1 AM,6:46,10:51,4.0,3/5/18,31,Bus,31,31,Sunderland / South Amherst,,3,
493,31-1 AM,6:46,10:51,4.0,3/19/18,31,Bus,31,31,Sunderland / South Amherst,,3,
494,31-4 PM1,14:06,16:36,2.5,3/23/18,31,Bus,31,31,Sunderland / South Amherst,,3,
495,31-1 AM,6:46,10:51,4.0,3/26/18,31,Bus,31,31,Sunderland / South Amherst,,3,
496,31-1 AM,6:46,10:47,4.0,4/2/18,31,Bus,31,31,Sunderland / South Amherst,,3,
497,31-4 PM1,14:06,16:36,2.5,4/6/18,31,Bus,31,31,Sunderland / South Amherst,,3,
498,31-1 AM,6:46,10:51,4.0,4/9/18,31,Bus,31,31,Sunderland / South Amherst,,3,
499,31-1 AM,6:28,10:41,4.25,4/16/18,31,Bus,31,31,Sunderland / South Amherst,,3,
500,31-4 PM1,14:06,16:36,2.5,4/20/18,31,Bus,31,31,Sunderland / South Amherst,,3,
501,31-1 AM,6:46,10:51,4.0,4/23/18,31,Bus,31,31,Sunderland / South Amherst,,3,
502,31-4 PM1,14:06,16:36,2.5,4/27/18,31,Bus,31,31,Sunderland / South Amherst,,3,
503,31-1 AM,6:46,10:51,4.0,4/30/18,31,Bus,31,31,Sunderland / South Amherst,,3,
504,31-4 MID,11:02,14:06,3.0,4/30/18,31,Bus,31,31,Sunderland / South Amherst,,3,
505,31-4 PM1,14:06,16:36,2.5,5/4/18,31,Bus,31,31,Sunderland / South Amherst,,3,
506,31-1 AM,6:46,10:51,4.0,5/7/18,31,Bus,31,31,Sunderland / South Amherst,,3,
507,31-1 PM1 Part 3,15:51,17:06,1.25,2/8/18,31,Bus,31,31,Sunderland / South Amherst,,3,
508,31-4 MID Part 3,12:51,14:06,1.25,2/9/18,31,Bus,31,31,Sunderland / South Amherst,,3,
509,31-4 PM2 Part 1,16:36,17:17,0.75,2/9/18,31,Bus,31,31,Sunderland / South Amherst,,3,
510,31-4 PM2 Part 1,16:36,17:17,0.75,2/23/18,31,Bus,31,31,Sunderland / South Amherst,,3,
511,31-1 MID Part 2,12:06,14:02,2.0,3/9/18,31,Bus,31,31,Sunderland / South Amherst,,3,
512,31-3 MID Part 1,10:47,11:00,0.25,4/2/18,31,Bus,31,31,Sunderland / South Amherst,,3,
513,31-3 MID Part 2,11:00,13:51,2.75,4/2/18,31,Bus,31,31,Sunderland / South Amherst,,3,
514,31-3 AM,6:21,10:47,4.5,6/7/18,31,Bus,31,31,Sunderland / South Amherst,,3,
515,31-5 MID Part 2,11:17,13:47,2.5,4/23/18,31,Bus,31,31,Sunderland / South Amherst,,3,
516,31-3 PM1 Part 1,13:51,15:00,1.25,5/8/18,31,Bus,31,31,Sunderland / South Amherst,,3,
517,31-3 PM1 Part 2,15:00,15:06,0.0,5/8/18,31,Bus,31,31,Sunderland / South Amherst,,3,
518,42-AM, 6:10, 8:32,2.25,5/28/14,45,Bus,45,45,Belchertown Center / UMass,,3,
519,42-AM, 6:10, 8:32,2.25,6/26/14,45,Bus,45,45,Belchertown Center / UMass,,3,
520,42-PM,15:55,18:40,2.75,6/26/14,45,Bus,45,45,Belchertown Center / UMass,,3,
521,45-2 AM, 6:40, 8:54,2.25,1/8/16,45,Bus,45,45,Belchertown Center / UMass,,3,
522,45-7 PM2 Part 1,16:10,16:15,0.0,3/18/16,45,Bus,45,45,Belchertown Center / UMass,,3,
523,45-7 PM2 Part 2,16:15,19:07,2.75,3/18/16,45,Bus,45,45,Belchertown Center / UMass,,3,
524,45-2 AM Part 1,6:40,7:00,0.25,8/15/16,45,Bus,45,45,Belchertown Center / UMass,,3,
525,45-2 AM Part 2,7:00,8:54,2.0,8/15/16,45,Bus,45,45,Belchertown Center / UMass,,3,
526,45-1 AM,6:10,8:35,2.5,1/10/18,45,Bus,45,45,Belchertown Center / UMass,,3,
527,45-2 AM,6:40,9:57,3.25,1/30/18,45,Bus,45,45,Belchertown Center / UMass,,3,
528,45-2 AM,6:40,9:57,3.25,2/6/18,45,Bus,45,45,Belchertown Center / UMass,,3,
529,45-2 AM,6:40,9:57,3.25,2/13/18,45,Bus,45,45,Belchertown Center / UMass,,3,
530,45-2 AM,6:40,9:57,3.25,2/20/18,45,Bus,45,45,Belchertown Center / UMass,,3,
531,45-4 MID,12:07,14:10,2.0,2/21/18,45,Bus,45,45,Belchertown Center / UMass,,3,
532,45-2 AM,6:40,9:57,3.25,2/27/18,45,Bus,45,45,Belchertown Center / UMass,,3,
533,45-2 AM,6:40,9:57,3.25,3/6/18,45,Bus,45,45,Belchertown Center / UMass,,3,
534,45-2 AM,6:40,9:57,3.25,3/20/18,45,Bus,45,45,Belchertown Center / UMass,,3,
535,45-2 AM,6:40,9:57,3.25,3/27/18,45,Bus,45,45,Belchertown Center / UMass,,3,
536,45-2 AM,6:40,9:57,3.25,4/3/18,45,Bus,45,45,Belchertown Center / UMass,,3,
537,45-2 AM,6:40,9:57,3.25,4/10/18,45,Bus,45,45,Belchertown Center / UMass,,3,
538,45-2 AM,6:40,9:57,3.25,4/24/18,45,Bus,45,45,Belchertown Center / UMass,,3,
539,45-2 AM,6:40,9:57,3.25,5/1/18,45,Bus,45,45,Belchertown Center / UMass,,3,
540,45-2 AM,6:40,9:57,3.25,5/8/18,45,Bus,45,45,Belchertown Center / UMass,,3,
541,45-2 AM,6:40,8:54,2.25,5/15/18,45,Bus,45,45,Belchertown Center / UMass,,3,
542,45-2 AM,6:40,8:54,2.25,5/24/18,45,Bus,45,45,Belchertown Center / UMass,,3,
543,33-1 AM, 6:46,10:46,4.0,9/3/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
544,33-1 MID Part 1,10:46,11:00,0.25,9/4/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
545,33-1 MID Part 2,11:00,12:42,1.75,9/4/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
546,33-1 PM,14:46,18:20,3.5,10/25/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
547,33-2 AM Part 1, 7:21,10:15,3.0,9/10/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
548,33-2 AM Part 2,10:15,10:42,0.5,9/10/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
549,33-1 MID Part 1,10:46,12:42,2.0,9/10/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
550,33-1 MID Part 2,11:22,12:43,1.25,10/9/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
551,33-1 PM1 Part 2,14:46,17:26,2.75,11/10/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
552,33-1 PM1 Part 2,14:46,16:06,1.25,11/12/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
553,33-2 MID,10:42,14:06,3.5,12/15/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
554,33-2 MID,10:42,14:06,3.5,12/16/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
555,33-1 MID,10:46,14:02,3.25,12/24/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
556,33-1 PM1,14:02,17:26,3.5,1/5/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
557,33-1 AM Part 1, 6:46,8:16,1.5,12/26/14,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
558,33-2 AM, 7:21,10:42,3.25,3/17/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
559,33-2 PM1 Part 3,16:02,17:22,1.25,1/29/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
560,33-1 MID Part 2,12:06,13:26,1.25,2/13/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
561,33-1 MID Part 1,10:46,11:00,0.25,3/2/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
562,33-1 MID Part 2,11:00,11:22,0.25,3/2/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
563,33-2 AM Part 1, 7:21,8:51,1.5,3/23/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
564,33-1 MID,10:46,14:02,3.25,6/22/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
565,33-2 MID,10:42,14:06,3.5,7/14/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
566,33-2 MID,10:42,14:06,3.5,7/21/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
567,33-1 MID,10:46,14:02,3.25,9/15/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
568,33-1 MID,10:46,14:02,3.25,9/17/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
569,33-1 MID,10:46,14:02,3.25,9/22/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
570,33-1 MID,10:46,14:02,3.25,9/24/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
571,33-1 MID,10:46,14:02,3.25,9/29/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
572,33-1 MID,10:46,14:02,3.25,10/1/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
573,33-1 MID,10:46,14:02,3.25,10/8/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
574,33-1 MID,10:46,14:02,3.25,10/15/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
575,33-1 MID,10:46,14:02,3.25,10/22/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
576,33-2 PM1 Part 2,15:26,16:02,0.5,11/6/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
577,33-1 PM1 Part 2,16:06,17:26,1.25,12/11/15,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
578,33-2 MID,10:42,14:06,3.5,3/15/16,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
579,33-1 PM2,17:26,21:00,3.5,3/17/16,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
580,33-1 MID,10:46,14:02,3.25,6/29/16,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
581,33-1 AM,6:46,10:46,4.0,7/19/16,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
582,33-2 MID,10:42,14:06,3.5,7/20/16,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
583,33-2 PM1,14:06,17:22,3.25,10/28/16,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
584,33-2 MID Part 2,11:26,13:22,2.0,2/10/17,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
585,33-1 AM,6:46,10:46,4.0,4/12/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
586,33-1 PM1 Part 2,15:22,17:26,2.0,3/15/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
587,33-2 MID Part 1,10:42,11:26,0.75,4/12/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
588,33-2 AM,7:21,10:42,3.25,6/1/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
589,33-2 PM1,14:06,17:22,3.25,6/15/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
590,33-2 AM,7:21,10:42,3.25,6/28/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
591,33-2 AM Part 1,7:21,8:51,1.5,5/10/18,33,Bus,33,33,Puffers Pond / Stop and Shop,,3,
592,36-1 MID,11:40,15:35,4.0,5/18/15,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
593,36-1 PM1,13:45,17:05,3.25,7/12/16,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
594,36-1 MID,10:45,14:05,3.25,7/27/16,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
595,36-1 MID,10:45,14:05,3.25,8/10/16,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
596,36-1 PM1,13:45,17:05,3.25,8/17/16,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
597,36-1 MID,11:02,14:02,3.0,5/14/18,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
598,36-1 MID,11:02,14:02,3.0,5/21/18,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
599,36-1 MID,11:02,14:02,3.0,5/31/18,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
600,36-1 AM Part 2,8:47,10:15,1.5,6/8/18,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
601,36-1 AM Part 3,10:15,10:17,0.0,6/8/18,36,Bus,36,36,Olympia Dr / Atkins Corner,,3,
